"","topic1","topic2","topic3","topic4"
"1","we","insecten","we","smart"
"2","klimaat","voedsel","mensen","city"
"3","lockdowns","eten","onze","minuten"
"4","jaar","mensen","wij","cities"
"5","mensen","eu","boeren","steden"
"6","mag","alleen","willen","wef"
"7","gaat","nieuwe","waar","stad"
"8","gaan","moeten","wereld","nederland"
"9","wel","zoals","the","minute"
"10","lockdown","krijgen","gaan","waar"
"11","goed","grote","moeten","eerste"
"12","volgende","gaan","gaat","iedereen"
"13","gewoon","toe","alle","gaat"
"14","weten","waar","wel","alle"
"15","alleen","maken","komen","agenda"
"16","zodat","daarom","laten","controle"
"17","natuurlijk","onze","leven","maken"
"18","controle","mogelijk","echt","the"
"19","straks","vlees","staat","via"
"20","alle","nodig","nieuwe","mensen"
